Date,Company,Product,Quantity_Sold,Unit_Price,Revenue,Production_Quantity,Inventory_Start,Inventory_End,Raw_Material_Cost_Per_Unit,Processing_Cost_Per_Unit,Packaging_Cost_Per_Unit,Transportation_Cost_Per_Unit,Total_Cost_Per_Unit,Total_Costs,Waste_Quantity,Waste_Cost,Profit,Profit_Margin_Percent,Quality_Score,Customer_Rating,Production_Efficiency,Capacity_Utilization,Market_Share_Percent,Competitor_Average_Price,Season,Region,Sales_Channel,Batch_Number,Expiry_Days
2021-01-01,Amul,Yogurt,163,57.96,9447.49,206,130,123,26.3,10.65,5.25,2.42,44.62,9507.02,12,315.6,-59.53,-0.63,87.7,4.4,0.9,0.823,15.61,63.29,Spring,North,Direct,B2021012413,19
2021-01-01,Amul,Yogurt,599,67.57,40473.87,708,160,235,39.21,7.43,4.07,3.79,54.51,39336.2,19,745.04,1137.67,2.81,94.7,4.7,0.887,0.834,22.28,68.65,Spring,Central,Wholesale,B2021012854,18
2021-01-02,Amul,Chocolate,936,255.24,238904.49,1190,157,366,112.48,41.25,22.83,13.41,189.96,229544.96,31,3486.8,9359.54,3.92,89.6,4.5,0.917,0.79,34.56,260.54,Spring,West,Retail,B2021017206,348
2021-01-02,Amul,Ghee,471,547.15,257708.59,551,467,507,270.82,98.6,33.74,32.99,436.14,241128.31,3,812.45,16580.28,6.43,90.5,4.5,0.869,0.82,21.4,511.56,Spring,South,Direct,B2021014306,236
2021-01-03,Amul,Butter,487,405.46,197460.84,664,249,403,219.31,64.51,35.73,30.83,350.38,233526.59,4,877.25,-36065.74,-18.26,86.9,4.3,0.892,0.859,32.44,398.47,Spring,East,Retail,B2021012625,309
2021-01-03,Amul,Chocolate,1089,257.51,280427.69,1267,474,646,117.01,33.47,17.38,15.75,183.61,235675.41,26,3042.37,44752.27,15.96,97.1,4.9,0.85,0.736,23.31,235.64,Spring,West,Online,B2021011783,48
2021-01-03,Amul,Chocolate,1401,220.82,309364.78,1558,439,573,112.59,32.94,17.31,8.8,171.64,271586.4,37,4165.93,37778.39,12.21,87.1,4.4,0.849,0.648,25.83,224.44,Spring,Central,Retail,B2021013996,185
2021-01-03,Amul,Curd,126,43.25,5449.21,152,153,133,18.9,6.28,2.83,1.7,29.71,4611.12,5,94.48,838.09,15.38,96.2,4.8,0.843,0.699,31.42,41.5,Spring,Central,Online,B2021016965,10
2021-01-04,Amul,Curd,363,43.78,15893.05,482,304,402,20.81,6.38,4.33,2.74,34.26,17201.38,33,686.68,-1308.33,-8.23,86.6,4.3,0.825,0.877,18.21,45.72,Spring,East,Direct,B2021017506,13
2021-01-04,Amul,Milk,542,48.68,26384.74,632,411,451,21.0,6.1,4.46,2.95,34.52,22133.49,15,315.06,4251.25,16.11,97.9,4.9,0.814,0.793,30.61,50.86,Spring,North,Wholesale,B2021013166,15
2021-01-04,Amul,Yogurt,232,62.33,14461.57,272,103,139,37.35,12.15,5.48,4.25,59.22,16333.27,6,224.1,-1871.7,-12.94,86.6,4.3,0.884,0.72,18.9,56.91,Spring,North,Direct,B2021014597,13
2021-01-05,Amul,Ghee,1074,532.47,571878.14,1234,124,276,311.06,57.15,53.12,35.97,457.3,566486.65,7,2177.42,5391.49,0.94,94.5,4.7,0.871,0.66,31.95,579.17,Spring,North,Direct,B2021013336,35
2021-01-05,Amul,Yogurt,503,67.85,34128.19,575,473,501,29.26,8.28,5.14,2.2,44.88,26276.18,16,468.16,7852.01,23.01,92.6,4.6,0.859,0.752,28.3,73.1,Spring,North,Wholesale,B2021017729,28
2021-01-06,Amul,Milk,489,56.27,27514.08,555,324,366,31.34,6.32,5.34,1.88,44.87,25153.05,8,250.68,2361.03,8.58,92.8,4.6,0.829,0.921,16.39,57.22,Spring,West,Direct,B2021019993,16
2021-01-06,Amul,Yogurt,633,57.58,36447.2,846,51,262,32.47,8.8,4.93,2.24,48.44,42437.49,45,1461.02,-5990.29,-16.44,97.9,4.9,0.875,0.89,23.04,54.15,Spring,North,Retail,B2021012879,30
2021-01-06,Amul,Yogurt,404,66.62,26915.75,448,387,428,30.2,10.64,3.96,4.65,49.44,22480.73,11,332.15,4435.03,16.48,86.5,4.3,0.891,0.947,18.13,70.69,Spring,East,Retail,B2021013918,15
2021-01-07,Amul,Curd,907,45.11,40912.27,1221,479,766,25.7,4.55,2.98,2.46,35.68,46185.52,102,2621.37,-5273.26,-12.89,91.2,4.6,0.864,0.756,26.52,47.69,Spring,North,Direct,B2021013787,15
2021-01-07,Amul,Milk,263,47.94,12608.43,341,419,475,22.76,7.03,4.65,1.88,36.31,12586.32,9,204.81,22.1,0.18,90.1,4.5,0.814,0.784,18.35,47.48,Spring,West,Direct,B2021019387,3
2021-01-07,Amul,Milk,556,50.7,28191.22,664,416,475,28.79,9.12,3.73,2.51,44.15,29545.32,8,230.3,-1354.1,-4.8,91.1,4.6,0.916,0.747,28.22,49.79,Spring,South,Retail,B2021018831,5
2021-01-07,Amul,Paneer,299,316.76,94710.42,366,147,186,157.36,37.87,23.72,14.71,233.67,88668.59,20,3147.13,6041.83,6.38,91.2,4.6,0.875,0.746,31.4,297.48,Spring,East,Online,B2021018935,361
2021-01-07,Amul,Paneer,1081,306.93,331792.35,1420,196,500,128.03,38.91,30.43,14.83,212.21,314143.95,100,12803.19,17648.4,5.32,89.9,4.5,0.896,0.944,31.78,325.3,Spring,West,Retail,B2021013932,167
2021-01-07,Amul,Paneer,472,284.58,134323.21,523,447,486,164.8,47.58,21.61,15.17,249.16,133770.34,21,3460.7,552.88,0.41,85.3,4.3,0.813,0.938,19.56,256.61,Spring,Central,Retail,B2021013731,174
2021-01-07,Amul,Yogurt,254,59.17,15029.31,305,327,331,24.32,10.57,4.84,2.91,42.64,13420.1,17,413.45,1609.22,10.71,88.0,4.4,0.914,0.942,24.57,61.49,Spring,Central,Direct,B2021014596,18
2021-01-08,Amul,Butter,234,424.45,99322.03,313,123,189,244.02,52.88,34.0,25.97,356.87,112431.26,3,732.05,-13109.23,-13.2,88.5,4.4,0.896,0.683,31.84,444.54,Spring,East,Direct,B2021019234,289
2021-01-08,Amul,Curd,394,39.26,15467.53,491,486,557,20.31,4.66,3.86,1.22,30.05,15097.72,17,345.23,369.81,2.39,88.5,4.4,0.839,0.782,29.71,41.75,Spring,North,Direct,B2021011012,12
2021-01-08,Amul,Curd,275,39.5,10863.86,313,489,489,23.31,6.79,2.44,2.9,35.44,11582.52,21,489.59,-718.66,-6.62,87.3,4.4,0.878,0.669,20.47,39.14,Spring,Central,Wholesale,B2021014127,5
2021-01-08,Amul,Yogurt,749,69.27,51882.99,1027,498,739,30.58,9.91,4.32,2.43,47.24,50316.56,59,1804.05,1566.43,3.02,93.8,4.7,0.895,0.635,32.75,70.62,Spring,Central,Wholesale,B2021011612,3
2021-01-09,Amul,Cheese,393,412.3,162033.02,538,344,457,228.8,50.34,37.31,17.74,334.19,184372.83,20,4576.03,-22339.81,-13.79,87.9,4.4,0.861,0.727,31.28,373.06,Spring,West,Direct,B2021012056,49
2021-01-09,Amul,Ice Cream,653,70.89,46293.53,756,141,212,42.18,7.65,5.99,5.07,60.89,48903.85,68,2868.39,-2610.33,-5.64,90.2,4.5,0.914,0.796,23.47,71.87,Spring,West,Retail,B2021016803,354
2021-01-10,Amul,Ghee,571,514.98,294053.87,694,80,183,244.03,74.65,45.91,35.55,400.13,279644.65,8,1952.25,14409.22,4.9,96.5,4.8,0.84,0.784,20.69,564.48,Spring,North,Retail,B2021016445,60
2021-01-10,Amul,Paneer,1102,324.92,358064.4,1521,491,864,152.65,53.17,19.18,23.73,248.73,394348.27,105,16027.74,-36283.88,-10.13,97.7,4.9,0.826,0.889,27.73,355.3,Spring,East,Online,B2021014732,203
2021-01-11,Amul,Butter,862,443.82,382576.87,1157,51,305,185.34,85.94,36.89,18.97,327.13,381639.61,17,3150.79,937.26,0.24,89.6,4.5,0.876,0.872,32.24,456.54,Spring,North,Retail,B2021015691,130
2021-01-11,Amul,Milk,942,57.01,53706.59,1169,283,486,23.6,6.39,3.85,4.37,38.21,44926.2,11,259.56,8780.39,16.35,85.5,4.3,0.842,0.871,24.76,53.17,Spring,East,Retail,B2021018732,5
2021-01-12,Amul,Butter,276,473.38,130652.15,375,499,553,277.3,67.81,31.28,27.33,403.72,152503.89,4,1109.19,-21851.74,-16.73,92.6,4.6,0.808,0.926,19.8,496.79,Spring,West,Retail,B2021015271,57
2021-01-12,Amul,Butter,270,443.59,119768.13,363,418,504,188.67,63.78,40.1,29.96,322.51,117826.6,4,754.67,1941.53,1.62,92.5,4.6,0.897,0.85,21.19,430.16,Spring,South,Retail,B2021011454,66
2021-01-12,Amul,Chocolate,700,233.35,163344.06,819,487,606,126.27,34.39,19.92,16.18,196.76,162664.59,12,1515.27,679.47,0.42,97.6,4.9,0.817,0.612,20.46,232.56,Spring,East,Online,B2021013595,338
2021-01-13,Amul,Butter,318,500.57,159180.36,390,70,107,220.0,54.28,42.14,31.96,348.37,136965.53,5,1100.01,22214.83,13.96,97.1,4.9,0.911,0.863,33.24,537.31,Spring,South,Retail,B2021016286,69
2021-01-13,Amul,Lassi,1238,32.09,39732.94,1568,197,483,18.45,4.24,3.1,1.71,27.51,44954.93,99,1827.03,-5221.99,-13.14,97.2,4.9,0.823,0.868,20.33,32.1,Spring,South,Retail,B2021011658,39
2021-01-13,Amul,Milk,965,54.46,52556.31,1328,490,808,22.8,6.29,3.93,2.85,35.87,48387.2,33,752.47,4169.11,7.93,85.7,4.3,0.898,0.934,31.69,52.81,Spring,Central,Wholesale,B2021013921,5
2021-01-13,Amul,Paneer,847,349.01,295614.94,1097,79,292,178.77,37.2,22.98,21.85,260.8,298255.53,68,12156.1,-2640.59,-0.89,85.6,4.3,0.901,0.733,34.85,322.99,Spring,East,Retail,B2021018599,82
2021-01-14,Amul,Butter,1017,493.93,502325.97,1191,53,177,296.12,52.95,42.73,15.12,406.93,489094.68,15,4441.87,13231.29,2.63,90.1,4.5,0.852,0.866,21.58,447.28,Spring,East,Wholesale,B2021014588,274
2021-01-14,Amul,Cheese,239,354.43,84709.48,332,161,210,153.2,68.97,34.67,21.33,278.17,93731.15,9,1378.76,-9021.67,-10.65,93.3,4.7,0.84,0.62,16.09,324.81,Spring,North,Wholesale,B2021018211,194
