Date,Company,Product,Quantity_Sold,Unit_Price,Revenue,Production_Quantity,Inventory_Start,Inventory_End,Raw_Material_Cost_Per_Unit,Processing_Cost_Per_Unit,Packaging_Cost_Per_Unit,Transportation_Cost_Per_Unit,Total_Cost_Per_Unit,Total_Costs,Waste_Quantity,Waste_Cost,Profit,Profit_Margin_Percent,Quality_Score,Customer_Rating,Production_Efficiency,Capacity_Utilization,Market_Share_Percent,Competitor_Average_Price,Season,Region,Sales_Channel,Batch_Number,Expiry_Days
2021-01-01,Heritage Foods,Ghee,225,577.5,129937.27,254,296,290,290.08,78.2,41.6,30.53,440.4,112442.74,2,580.16,17494.52,13.46,81.1,4.1,0.774,0.869,20.62,569.2,Spring,East,Direct,B2021015810,99
2021-01-01,Heritage Foods,Ice Cream,449,71.26,31997.76,602,315,442,42.03,13.87,3.65,3.09,62.64,38888.97,28,1176.96,-6891.22,-21.54,87.4,4.4,0.788,0.818,19.31,67.31,Spring,South,Direct,B2021011901,108
2021-01-01,Heritage Foods,Milk,1054,53.94,56854.16,1347,275,529,22.86,7.89,5.09,1.88,37.73,51509.82,30,685.9,5344.34,9.4,78.1,3.9,0.778,0.749,16.93,48.86,Spring,South,Retail,B2021015074,5
2021-01-02,Heritage Foods,Cheese,910,376.48,342593.57,1255,131,452,154.82,41.55,21.77,29.44,247.58,317058.56,41,6347.48,25535.01,7.45,81.5,4.1,0.759,0.846,12.98,368.28,Spring,South,Online,B2021019412,102
2021-01-02,Heritage Foods,Ice Cream,544,82.86,45078.15,683,444,569,47.75,12.58,7.87,4.05,72.25,50681.88,28,1337.0,-5603.73,-12.43,82.2,4.1,0.814,0.85,21.69,90.67,Spring,South,Retail,B2021011999,33
2021-01-02,Heritage Foods,Milk,353,52.57,18556.61,444,242,326,21.98,8.02,4.48,3.48,37.95,17093.12,11,241.77,1463.49,7.89,83.6,4.2,0.778,0.634,24.31,55.33,Spring,West,Direct,B2021014643,27
2021-01-02,Heritage Foods,Yogurt,393,68.21,26806.85,464,377,417,40.92,10.82,6.19,3.59,61.51,29361.34,20,818.46,-2554.49,-9.53,88.0,4.4,0.767,0.63,17.78,72.77,Spring,West,Direct,B2021016688,6
2021-01-03,Heritage Foods,Cheese,749,380.31,284849.84,867,321,398,202.35,58.2,27.81,14.68,303.03,267584.16,24,4856.47,17265.67,6.06,83.8,4.2,0.797,0.666,24.25,404.71,Spring,East,Direct,B2021019358,213
2021-01-03,Heritage Foods,Curd,1063,46.5,49433.09,1290,394,598,20.79,5.11,3.95,3.56,33.4,45149.84,99,2057.82,4283.25,8.66,82.1,4.1,0.854,0.81,23.17,42.48,Spring,West,Wholesale,B2021013744,12
2021-01-04,Heritage Foods,Milk,326,59.6,19428.05,401,391,425,27.36,9.5,5.04,2.46,44.36,18009.13,8,218.9,1418.92,7.3,86.4,4.3,0.833,0.813,17.73,65.53,Spring,West,Retail,B2021012672,14
2021-01-05,Heritage Foods,Ghee,139,615.27,85522.54,164,313,310,265.23,74.47,49.2,48.63,437.53,72285.75,2,530.47,13236.8,15.48,78.1,3.9,0.776,0.645,20.82,571.39,Spring,North,Retail,B2021013299,67
2021-01-06,Heritage Foods,Lassi,496,40.16,19919.51,552,363,413,21.74,6.02,2.51,3.18,33.44,19309.02,39,847.74,610.49,3.06,76.7,3.8,0.807,0.81,17.91,38.7,Spring,North,Direct,B2021018171,47
