Date,Company,Product,Quantity_Sold,Unit_Price,Revenue,Production_Quantity,Inventory_Start,Inventory_End,Raw_Material_Cost_Per_Unit,Processing_Cost_Per_Unit,Packaging_Cost_Per_Unit,Transportation_Cost_Per_Unit,Total_Cost_Per_Unit,Total_Costs,Waste_Quantity,Waste_Cost,Profit,Profit_Margin_Percent,Quality_Score,Customer_Rating,Production_Efficiency,Capacity_Utilization,Market_Share_Percent,Competitor_Average_Price,Season,Region,Sales_Channel,Batch_Number,Expiry_Days
2021-01-02,Mother Dairy,Butter,297,475.8,141312.78,351,182,199,263.71,76.82,39.28,26.07,405.89,143257.06,3,791.13,-1944.27,-1.38,89.1,4.5,0.833,0.809,21.79,505.19,Spring,West,Direct,B2021016712,319
2021-01-02,Mother Dairy,Cheese,534,357.17,190726.22,635,305,392,151.87,56.21,21.54,12.85,242.47,156851.84,19,2885.46,33874.37,17.76,84.4,4.2,0.897,0.761,19.91,347.8,Spring,North,Online,B2021013900,240
2021-01-02,Mother Dairy,Milk,999,59.01,58947.94,1164,339,501,33.98,11.36,3.03,3.34,51.71,61210.08,30,1019.27,-2262.13,-3.84,89.7,4.5,0.814,0.908,21.09,58.6,Spring,South,Wholesale,B2021013260,19
2021-01-02,Mother Dairy,Paneer,845,342.38,289311.96,1005,434,553,185.82,63.49,29.78,23.88,302.97,315631.6,60,11148.95,-26319.64,-9.1,83.3,4.2,0.884,0.712,12.64,365.98,Spring,Central,Wholesale,B2021015317,273
2021-01-03,Mother Dairy,Curd,1084,42.99,46596.18,1234,437,555,22.11,7.54,2.74,1.42,33.81,43960.31,101,2232.78,2635.88,5.66,82.1,4.1,0.871,0.65,17.66,44.18,Spring,East,Online,B2021014489,24
2021-01-03,Mother Dairy,Milk,479,58.42,27983.6,652,58,230,32.25,10.24,3.49,1.86,47.84,31773.64,18,580.53,-3790.04,-13.54,86.1,4.3,0.871,0.824,18.06,62.21,Spring,East,Retail,B2021013768,24
2021-01-04,Mother Dairy,Cheese,782,415.31,324771.64,889,161,265,173.93,75.67,25.31,16.99,291.89,262276.13,16,2782.82,62495.52,19.24,85.6,4.3,0.795,0.609,19.68,420.32,Spring,Central,Direct,B2021018059,228
2021-01-04,Mother Dairy,Cheese,492,369.1,181595.58,638,134,265,161.9,66.24,34.11,26.66,288.91,187886.22,22,3561.72,-6290.65,-3.46,81.0,4.1,0.809,0.641,13.46,382.07,Spring,West,Direct,B2021018559,221
2021-01-04,Mother Dairy,Yogurt,579,65.41,37870.78,699,245,342,31.52,7.05,5.2,2.3,46.07,32708.75,16,504.4,5162.03,13.63,90.6,4.5,0.861,0.698,15.59,69.67,Spring,Central,Wholesale,B2021018057,3
2021-01-05,Mother Dairy,Ice Cream,1024,70.44,72133.92,1306,273,535,30.83,8.85,6.88,3.56,50.13,67777.35,75,2312.21,4356.57,6.04,88.7,4.4,0.9,0.612,22.75,70.21,Spring,West,Direct,B2021017440,267
2021-01-05,Mother Dairy,Lassi,1309,37.8,49476.52,1764,241,655,21.16,5.04,2.92,1.63,30.75,55943.19,80,1692.94,-6466.68,-13.07,86.8,4.3,0.832,0.74,20.55,34.03,Spring,East,Retail,B2021016867,256
2021-01-05,Mother Dairy,Paneer,947,343.68,325463.81,1309,136,473,139.05,39.18,30.19,24.82,233.24,309894.05,33,4588.64,15569.75,4.78,82.4,4.1,0.87,0.94,13.31,321.79,Spring,North,Online,B2021018320,124
2021-01-06,Mother Dairy,Butter,775,460.34,356764.63,972,168,346,239.96,52.31,42.63,23.66,358.56,350198.81,7,1679.72,6565.82,1.84,91.6,4.6,0.799,0.762,17.07,455.55,Spring,South,Retail,B2021015266,177
2021-01-06,Mother Dairy,Curd,294,44.72,13147.63,391,115,170,21.98,6.93,4.22,2.39,35.51,14369.82,22,483.47,-1222.2,-9.3,86.7,4.3,0.809,0.937,19.36,46.93,Spring,East,Online,B2021018933,21
2021-01-06,Mother Dairy,Paneer,836,333.04,278423.13,957,255,370,170.39,49.36,21.29,17.11,258.16,254551.89,44,7497.18,23871.23,8.57,92.1,4.6,0.795,0.906,12.19,309.42,Spring,West,Online,B2021015891,268
2021-01-06,Mother Dairy,Paneer,1184,328.57,389023.67,1580,223,599,162.68,47.2,20.5,15.62,246.0,401362.24,78,12688.91,-12338.58,-3.17,87.3,4.4,0.812,0.684,16.88,314.46,Spring,Central,Direct,B2021019059,301
2021-01-07,Mother Dairy,Curd,605,45.08,27271.05,741,369,473,26.86,7.26,2.44,2.28,38.84,29425.79,24,644.68,-2154.73,-7.9,90.8,4.5,0.874,0.791,24.74,46.49,Spring,Central,Online,B2021014476,8
2021-01-07,Mother Dairy,Curd,107,47.93,5128.69,143,409,426,26.96,8.36,4.11,2.63,42.06,6149.03,5,134.8,-1020.33,-19.89,91.0,4.5,0.864,0.854,11.38,50.79,Spring,East,Wholesale,B2021011224,25
2021-01-07,Mother Dairy,Ghee,142,513.67,72940.85,188,387,386,252.96,71.25,27.42,17.72,369.35,69690.26,1,252.96,3250.59,4.46,80.8,4.0,0.789,0.63,10.99,506.42,Spring,Central,Direct,B2021017131,261
2021-01-07,Mother Dairy,Ice Cream,697,70.54,49166.02,808,220,300,36.93,8.33,5.58,5.1,55.95,48568.42,91,3360.95,597.6,1.22,93.0,4.7,0.793,0.627,23.09,77.46,Spring,Central,Retail,B2021017622,214
